4:14:01 PM | info | Position closed: NVDA | P&L: $-426.39 | Daily P&L: $-426.39 | Bal: $9573.61
4:14:05 PM | info | Position closed: NVDA | P&L: $-113.43 | Daily P&L: $-306.00 | Bal: $8522.64
4:14:05 PM | info | Position closed: NVDA | P&L: $173.60 | Daily P&L: $-132.40 | Bal: $8696.24
4:14:05 PM | info | Position closed: NVDA | P&L: $88.28 | Daily P&L: $-44.13 | Bal: $8784.51
4:14:05 PM | info | Position closed: NVDA | P&L: $101.43 | Daily P&L: $57.30 | Bal: $8885.94
4:14:05 PM | info | Position closed: NVDA | P&L: $88.95 | Daily P&L: $146.26 | Bal: $8974.89
4:14:05 PM | info | Position closed: NVDA | P&L: $-89.69 | Daily P&L: $56.56 | Bal: $8885.20
4:14:05 PM | info | Position closed: NVDA | P&L: $-97.80 | Daily P&L: $-41.24 | Bal: $8787.40
4:14:05 PM | info | Position closed: NVDA | P&L: $93.09 | Daily P&L: $51.85 | Bal: $8880.49
4:14:05 PM | info | Position closed: NVDA | P&L: $152.28 | Daily P&L: $204.13 | Bal: $9032.77
4:14:05 PM | info | Position closed: NVDA | P&L: $126.66 | Daily P&L: $330.80 | Bal: $9159.44
4:14:05 PM | info | Position closed: NVDA | P&L: $93.77 | Daily P&L: $424.56 | Bal: $9253.20
4:14:05 PM | info | Position closed: NVDA | P&L: $282.13 | Daily P&L: $282.13 | Bal: $9535.34
4:14:05 PM | info | Position closed: NVDA | P&L: $-190.93 | Daily P&L: $91.20 | Bal: $9344.40
4:14:05 PM | info | Position closed: NVDA | P&L: $-156.64 | Daily P&L: $-65.44 | Bal: $9187.76
4:14:05 PM | info | Position closed: NVDA | P&L: $-108.16 | Daily P&L: $-173.60 | Bal: $9079.60
4:14:05 PM | info | Position closed: NVDA | P&L: $-94.33 | Daily P&L: $-267.92 | Bal: $8985.28
4:14:05 PM | info | Position closed: NVDA | P&L: $126.75 | Daily P&L: $-141.17 | Bal: $9112.03
4:14:05 PM | info | Position closed: NVDA | P&L: $-103.57 | Daily P&L: $-244.74 | Bal: $9008.46
4:14:05 PM | info | Position closed: NVDA | P&L: $91.80 | Daily P&L: $-152.94 | Bal: $9100.26
4:14:05 PM | info | Position closed: NVDA | P&L: $95.70 | Daily P&L: $-57.24 | Bal: $9195.96
4:14:05 PM | info | Position closed: NVDA | P&L: $-106.14 | Daily P&L: $-163.38 | Bal: $9089.82
4:14:05 PM | info | Position closed: NVDA | P&L: $-94.19 | Daily P&L: $-257.56 | Bal: $8995.64
4:14:05 PM | info | Position closed: NVDA | P&L: $101.70 | Daily P&L: $-155.86 | Bal: $9097.34
4:14:05 PM | info | Position closed: NVDA | P&L: $-106.33 | Daily P&L: $-262.19 | Bal: $8991.01
4:14:05 PM | info | Position closed: NVDA | P&L: $98.02 | Daily P&L: $-164.17 | Bal: $9089.03
4:14:05 PM | info | Position closed: NVDA | P&L: $-92.61 | Daily P&L: $-256.78 | Bal: $8996.42
4:14:05 PM | info | Position closed: NVDA | P&L: $147.47 | Daily P&L: $-109.32 | Bal: $9143.88
4:14:05 PM | info | Position closed: NVDA | P&L: $116.61 | Daily P&L: $116.61 | Bal: $9260.49
4:14:05 PM | info | Position closed: NVDA | P&L: $-137.57 | Daily P&L: $-20.96 | Bal: $9122.93
4:14:05 PM | info | Position closed: NVDA | P&L: $-110.70 | Daily P&L: $-131.66 | Bal: $9012.22
4:14:05 PM | info | Position closed: NVDA | P&L: $150.57 | Daily P&L: $18.91 | Bal: $9162.79
4:14:05 PM | info | Position closed: NVDA | P&L: $-123.48 | Daily P&L: $-104.57 | Bal: $9039.31
4:14:05 PM | info | Position closed: NVDA | P&L: $-138.99 | Daily P&L: $-243.56 | Bal: $8900.32
4:14:05 PM | info | Position closed: NVDA | P&L: $-99.70 | Daily P&L: $-343.25 | Bal: $8800.63
4:14:05 PM | info | Position closed: NVDA | P&L: $151.85 | Daily P&L: $-191.41 | Bal: $8952.48
4:14:05 PM | info | Position closed: NVDA | P&L: $96.56 | Daily P&L: $-94.85 | Bal: $9049.04
4:14:05 PM | info | Position closed: NVDA | P&L: $-90.54 | Daily P&L: $-185.39 | Bal: $8958.50
4:14:05 PM | info | Position closed: NVDA | P&L: $-96.96 | Daily P&L: $-282.34 | Bal: $8861.54
4:14:05 PM | info | Position closed: NVDA | P&L: $113.57 | Daily P&L: $-168.78 | Bal: $8975.10
4:14:05 PM | info | Position closed: NVDA | P&L: $137.20 | Daily P&L: $-31.58 | Bal: $9112.30
4:14:05 PM | info | Position closed: NVDA | P&L: $118.88 | Daily P&L: $87.30 | Bal: $9231.18
4:14:05 PM | info | Position closed: NVDA | P&L: $-92.48 | Daily P&L: $-5.19 | Bal: $9138.70
4:14:05 PM | info | Position closed: NVDA | P&L: $-124.92 | Daily P&L: $-130.11 | Bal: $9013.78
4:14:05 PM | info | Position closed: NVDA | P&L: $-145.78 | Daily P&L: $-275.88 | Bal: $8868.00
4:14:05 PM | info | Position closed: NVDA | P&L: $-101.36 | Daily P&L: $-377.24 | Bal: $8766.64
4:14:05 PM | info | Position closed: NVDA | P&L: $-144.92 | Daily P&L: $-144.92 | Bal: $8621.72
4:14:05 PM | info | Position closed: NVDA | P&L: $-206.52 | Daily P&L: $-351.45 | Bal: $8415.19
4:14:05 PM | info | Position closed: NVDA | P&L: $207.81 | Daily P&L: $-143.63 | Bal: $8623.01
4:14:05 PM | info | Position closed: NVDA | P&L: $145.09 | Daily P&L: $1.46 | Bal: $8768.10
4:14:05 PM | info | Position closed: NVDA | P&L: $172.92 | Daily P&L: $174.38 | Bal: $8941.02
4:14:05 PM | info | Position closed: NVDA | P&L: $102.23 | Daily P&L: $276.61 | Bal: $9043.25
4:14:05 PM | info | Position closed: NVDA | P&L: $-90.72 | Daily P&L: $185.89 | Bal: $8952.53
4:14:05 PM | info | Position closed: NVDA | P&L: $-157.70 | Daily P&L: $28.19 | Bal: $8794.83
4:14:05 PM | info | Position closed: NVDA | P&L: $120.11 | Daily P&L: $148.30 | Bal: $8914.94
4:14:05 PM | info | Position closed: NVDA | P&L: $114.85 | Daily P&L: $263.15 | Bal: $9029.79
4:14:05 PM | info | Position closed: NVDA | P&L: $-96.53 | Daily P&L: $166.62 | Bal: $8933.26
4:14:05 PM | info | Position closed: NVDA | P&L: $-91.30 | Daily P&L: $75.32 | Bal: $8841.96
4:14:05 PM | info | Position closed: NVDA | P&L: $-104.64 | Daily P&L: $-29.32 | Bal: $8737.32
4:14:05 PM | info | Position closed: NVDA | P&L: $-145.35 | Daily P&L: $-174.67 | Bal: $8591.97
4:14:05 PM | info | Position closed: NVDA | P&L: $101.12 | Daily P&L: $-73.55 | Bal: $8693.09
4:14:05 PM | info | Position closed: NVDA | P&L: $-94.24 | Daily P&L: $-167.79 | Bal: $8598.85
4:14:05 PM | info | Position closed: NVDA | P&L: $95.15 | Daily P&L: $-72.65 | Bal: $8693.99
4:14:05 PM | info | Position closed: NVDA | P&L: $221.23 | Daily P&L: $221.23 | Bal: $8915.23
4:14:05 PM | info | Position closed: NVDA | P&L: $157.52 | Daily P&L: $378.75 | Bal: $9072.75
4:14:05 PM | info | Position closed: NVDA | P&L: $99.30 | Daily P&L: $478.05 | Bal: $9172.05
4:14:05 PM | info | Position closed: NVDA | P&L: $110.85 | Daily P&L: $588.90 | Bal: $9282.89
4:14:05 PM | info | Position closed: NVDA | P&L: $-179.86 | Daily P&L: $409.04 | Bal: $9103.03
4:14:05 PM | info | Position closed: NVDA | P&L: $-128.59 | Daily P&L: $280.45 | Bal: $8974.44
4:14:05 PM | info | Position closed: NVDA | P&L: $-123.23 | Daily P&L: $157.22 | Bal: $8851.21
4:14:05 PM | info | Position closed: NVDA | P&L: $-126.12 | Daily P&L: $31.10 | Bal: $8725.10
4:14:05 PM | info | Position closed: NVDA | P&L: $-113.05 | Daily P&L: $-81.95 | Bal: $8612.05
4:14:05 PM | info | Position closed: NVDA | P&L: $-115.58 | Daily P&L: $-197.53 | Bal: $8496.46
4:14:05 PM | info | Position closed: NVDA | P&L: $-104.61 | Daily P&L: $-302.14 | Bal: $8391.85
4:14:05 PM | info | Position closed: NVDA | P&L: $126.59 | Daily P&L: $126.59 | Bal: $8518.45
4:14:05 PM | info | Position closed: NVDA | P&L: $112.32 | Daily P&L: $238.91 | Bal: $8630.77
4:14:05 PM | info | Position closed: NVDA | P&L: $-109.14 | Daily P&L: $129.77 | Bal: $8521.62
4:14:05 PM | info | Position closed: NVDA | P&L: $86.24 | Daily P&L: $216.01 | Bal: $8607.86
4:14:05 PM | info | Position closed: NVDA | P&L: $-94.66 | Daily P&L: $121.35 | Bal: $8513.20
4:14:05 PM | info | Position closed: NVDA | P&L: $98.64 | Daily P&L: $219.99 | Bal: $8611.84
4:14:05 PM | info | Position closed: NVDA | P&L: $113.52 | Daily P&L: $333.50 | Bal: $8725.36
4:14:05 PM | info | Position closed: NVDA | P&L: $96.28 | Daily P&L: $96.28 | Bal: $8821.64
4:14:05 PM | info | Position closed: NVDA | P&L: $105.24 | Daily P&L: $201.52 | Bal: $8926.88
4:14:05 PM | info | Position closed: NVDA | P&L: $166.84 | Daily P&L: $368.36 | Bal: $9093.71
4:14:05 PM | info | Position closed: NVDA | P&L: $-180.95 | Daily P&L: $187.41 | Bal: $8912.76
4:14:05 PM | info | Position closed: NVDA | P&L: $145.80 | Daily P&L: $333.21 | Bal: $9058.56
4:14:05 PM | info | Position closed: NVDA | P&L: $121.88 | Daily P&L: $455.08 | Bal: $9180.44
4:14:05 PM | info | Position closed: NVDA | P&L: $92.88 | Daily P&L: $547.96 | Bal: $9273.32
4:14:05 PM | info | Position closed: NVDA | P&L: $106.08 | Daily P&L: $654.04 | Bal: $9379.39
4:14:05 PM | info | Position closed: NVDA | P&L: $-94.36 | Daily P&L: $559.68 | Bal: $9285.03
4:14:05 PM | info | Position closed: NVDA | P&L: $116.20 | Daily P&L: $675.88 | Bal: $9401.23
4:14:05 PM | info | Position closed: NVDA | P&L: $-99.41 | Daily P&L: $576.46 | Bal: $9301.82
4:14:05 PM | info | Position closed: NVDA | P&L: $-136.12 | Daily P&L: $440.34 | Bal: $9165.70
4:14:05 PM | info | Position closed: NVDA | P&L: $-118.99 | Daily P&L: $321.35 | Bal: $9046.71
4:14:05 PM | info | Position closed: NVDA | P&L: $-120.38 | Daily P&L: $200.98 | Bal: $8926.33
4:14:05 PM | info | Position closed: NVDA | P&L: $90.53 | Daily P&L: $291.51 | Bal: $9016.87
4:14:05 PM | info | Position closed: NVDA | P&L: $92.03 | Daily P&L: $383.54 | Bal: $9108.89
4:14:05 PM | info | Position closed: NVDA | P&L: $128.40 | Daily P&L: $511.94 | Bal: $9237.29
4:14:05 PM | info | Position closed: NVDA | P&L: $449.60 | Daily P&L: $449.60 | Bal: $9686.89
4:14:05 PM | info | Position closed: NVDA | P&L: $295.19 | Daily P&L: $744.79 | Bal: $9982.08
4:14:05 PM | info | Position closed: NVDA | P&L: $-176.80 | Daily P&L: $567.99 | Bal: $9805.28
4:14:05 PM | info | Position closed: NVDA | P&L: $181.27 | Daily P&L: $749.26 | Bal: $9986.55
4:14:05 PM | info | Position closed: NVDA | P&L: $105.09 | Daily P&L: $854.35 | Bal: $10091.64
4:14:05 PM | info | Position closed: NVDA | P&L: $119.37 | Daily P&L: $973.72 | Bal: $10211.01
4:14:05 PM | info | Position closed: NVDA | P&L: $120.75 | Daily P&L: $1094.47 | Bal: $10331.76
4:14:05 PM | info | Position closed: NVDA | P&L: $-140.67 | Daily P&L: $953.80 | Bal: $10191.09
4:14:05 PM | info | Position closed: NVDA | P&L: $120.93 | Daily P&L: $1074.72 | Bal: $10312.02
4:14:05 PM | info | Position closed: NVDA | P&L: $-103.97 | Daily P&L: $970.76 | Bal: $10208.05
4:14:05 PM | info | Position closed: NVDA | P&L: $-147.02 | Daily P&L: $823.74 | Bal: $10061.04
4:14:05 PM | info | Position closed: NVDA | P&L: $106.26 | Daily P&L: $930.00 | Bal: $10167.29
4:14:05 PM | info | Position closed: NVDA | P&L: $134.16 | Daily P&L: $1064.16 | Bal: $10301.45
4:14:05 PM | info | Position closed: NVDA | P&L: $166.01 | Daily P&L: $166.01 | Bal: $10467.46
4:14:05 PM | info | Position closed: NVDA | P&L: $206.39 | Daily P&L: $372.39 | Bal: $10673.85
4:14:05 PM | info | Position closed: NVDA | P&L: $150.06 | Daily P&L: $522.45 | Bal: $10823.91
4:14:05 PM | info | Position closed: NVDA | P&L: $-109.15 | Daily P&L: $413.30 | Bal: $10714.76
4:14:05 PM | info | Position closed: NVDA | P&L: $-113.06 | Daily P&L: $300.25 | Bal: $10601.70
4:14:05 PM | info | Position closed: NVDA | P&L: $140.45 | Daily P&L: $440.70 | Bal: $10742.15
4:14:05 PM | info | Position closed: NVDA | P&L: $-126.96 | Daily P&L: $313.74 | Bal: $10615.19
4:14:05 PM | info | Position closed: NVDA | P&L: $-121.39 | Daily P&L: $192.35 | Bal: $10493.80
4:14:05 PM | info | Position closed: NVDA | P&L: $-106.54 | Daily P&L: $85.81 | Bal: $10387.26
4:14:05 PM | info | Position closed: NVDA | P&L: $145.14 | Daily P&L: $230.95 | Bal: $10532.40
4:14:05 PM | info | Position closed: NVDA | P&L: $-206.98 | Daily P&L: $-206.98 | Bal: $10325.42
4:14:05 PM | info | Position closed: NVDA | P&L: $112.64 | Daily P&L: $-94.34 | Bal: $10438.06
4:14:05 PM | info | Position closed: NVDA | P&L: $-135.08 | Daily P&L: $-229.42 | Bal: $10302.99
4:14:05 PM | info | Position closed: NVDA | P&L: $-124.08 | Daily P&L: $-353.49 | Bal: $10178.91
4:14:05 PM | info | Position closed: NVDA | P&L: $-145.74 | Daily P&L: $-499.23 | Bal: $10033.17
4:14:05 PM | info | Position closed: NVDA | P&L: $154.35 | Daily P&L: $-344.88 | Bal: $10187.52
4:14:05 PM | info | Position closed: NVDA | P&L: $-119.00 | Daily P&L: $-463.88 | Bal: $10068.52
4:14:05 PM | info | Position closed: NVDA | P&L: $134.94 | Daily P&L: $-328.94 | Bal: $10203.46
4:14:05 PM | info | Position closed: NVDA | P&L: $125.90 | Daily P&L: $-203.04 | Bal: $10329.37
4:14:05 PM | info | Position closed: NVDA | P&L: $-176.33 | Daily P&L: $-379.36 | Bal: $10153.04
4:14:05 PM | info | Position closed: NVDA | P&L: $108.81 | Daily P&L: $-270.55 | Bal: $10261.85
4:14:05 PM | info | Position closed: NVDA | P&L: $-115.38 | Daily P&L: $-385.93 | Bal: $10146.47
4:14:05 PM | info | Position closed: NVDA | P&L: $110.09 | Daily P&L: $-275.84 | Bal: $10256.57
4:14:05 PM | info | Position closed: NVDA | P&L: $161.10 | Daily P&L: $-114.74 | Bal: $10417.67
4:14:05 PM | info | Position closed: NVDA | P&L: $-112.53 | Daily P&L: $-227.27 | Bal: $10305.14
4:14:05 PM | info | Position closed: NVDA | P&L: $-135.72 | Daily P&L: $-362.99 | Bal: $10169.42
4:14:05 PM | info | Position closed: NVDA | P&L: $-116.03 | Daily P&L: $-479.01 | Bal: $10053.39
4:14:05 PM | info | Position closed: NVDA | P&L: $153.66 | Daily P&L: $153.66 | Bal: $10207.06
4:14:05 PM | info | Position closed: NVDA | P&L: $432.00 | Daily P&L: $585.66 | Bal: $10639.06
4:14:05 PM | info | Position closed: NVDA | P&L: $-128.46 | Daily P&L: $457.21 | Bal: $10510.60
4:14:05 PM | info | Position closed: NVDA | P&L: $-230.49 | Daily P&L: $226.71 | Bal: $10280.11
4:14:05 PM | info | Position closed: NVDA | P&L: $-172.21 | Daily P&L: $54.51 | Bal: $10107.90
4:14:05 PM | info | Position closed: NVDA | P&L: $-166.05 | Daily P&L: $-111.54 | Bal: $9941.85
4:14:05 PM | info | Position closed: NVDA | P&L: $-218.55 | Daily P&L: $-330.09 | Bal: $9723.30
4:14:05 PM | info | Position closed: NVDA | P&L: $118.20 | Daily P&L: $-211.89 | Bal: $9841.50
4:14:05 PM | info | Position closed: NVDA | P&L: $-114.42 | Daily P&L: $-326.31 | Bal: $9727.09
4:14:05 PM | info | Position closed: NVDA | P&L: $-110.32 | Daily P&L: $-436.63 | Bal: $9616.77
4:14:05 PM | info | Position closed: NVDA | P&L: $-265.47 | Daily P&L: $-702.10 | Bal: $9351.30
4:14:05 PM | info | Position closed: NVDA | P&L: $-248.36 | Daily P&L: $-248.36 | Bal: $9102.94
4:14:05 PM | info | Position closed: NVDA | P&L: $-253.93 | Daily P&L: $-502.29 | Bal: $8849.01
4:14:05 PM | info | Position closed: NVDA | P&L: $263.25 | Daily P&L: $263.25 | Bal: $9112.26
4:14:05 PM | info | Position closed: NVDA | P&L: $-98.28 | Daily P&L: $164.97 | Bal: $9013.98
4:14:05 PM | info | Position closed: NVDA | P&L: $-133.03 | Daily P&L: $31.94 | Bal: $8880.95
4:14:05 PM | info | Position closed: NVDA | P&L: $92.52 | Daily P&L: $124.47 | Bal: $8973.47
4:14:05 PM | info | Position closed: NVDA | P&L: $-95.74 | Daily P&L: $28.73 | Bal: $8877.74
4:14:05 PM | info | Position closed: NVDA | P&L: $112.70 | Daily P&L: $141.43 | Bal: $8990.43
4:14:05 PM | info | Position closed: NVDA | P&L: $-146.47 | Daily P&L: $-5.04 | Bal: $8843.96
4:14:05 PM | info | Position closed: NVDA | P&L: $-132.83 | Daily P&L: $-137.87 | Bal: $8711.13
4:14:05 PM | info | Position closed: NVDA | P&L: $124.60 | Daily P&L: $-13.27 | Bal: $8835.73
4:14:05 PM | info | Position closed: NVDA | P&L: $95.40 | Daily P&L: $82.13 | Bal: $8931.13
4:14:05 PM | info | Position closed: NVDA | P&L: $118.63 | Daily P&L: $200.75 | Bal: $9049.76
4:14:05 PM | info | Position closed: NVDA | P&L: $199.80 | Daily P&L: $400.55 | Bal: $9249.56
4:14:05 PM | info | Position closed: NVDA | P&L: $-95.25 | Daily P&L: $305.30 | Bal: $9154.31
4:14:05 PM | info | Position closed: NVDA | P&L: $338.20 | Daily P&L: $643.50 | Bal: $9492.51
4:14:05 PM | info | Position closed: NVDA | P&L: $172.88 | Daily P&L: $816.38 | Bal: $9665.39
4:14:05 PM | info | Position closed: NVDA | P&L: $-97.76 | Daily P&L: $718.63 | Bal: $9567.63
4:14:05 PM | info | Position closed: NVDA | P&L: $134.54 | Daily P&L: $853.17 | Bal: $9702.18
4:14:05 PM | info | Position closed: NVDA | P&L: $-171.79 | Daily P&L: $-171.79 | Bal: $9530.39
4:14:05 PM | info | Position closed: NVDA | P&L: $-106.08 | Daily P&L: $-277.87 | Bal: $9424.31
4:14:05 PM | info | Position closed: NVDA | P&L: $-100.17 | Daily P&L: $-378.03 | Bal: $9324.14
4:14:05 PM | info | Position closed: NVDA | P&L: $173.03 | Daily P&L: $-205.00 | Bal: $9497.17
4:14:05 PM | info | Position closed: NVDA | P&L: $-130.65 | Daily P&L: $-335.65 | Bal: $9366.52
4:14:05 PM | info | Position closed: NVDA | P&L: $-161.02 | Daily P&L: $-496.67 | Bal: $9205.50
4:14:05 PM | info | Position closed: NVDA | P&L: $-172.39 | Daily P&L: $-669.06 | Bal: $9033.12
4:14:05 PM | info | Position closed: NVDA | P&L: $144.98 | Daily P&L: $144.98 | Bal: $9178.09
4:14:05 PM | info | Position closed: NVDA | P&L: $161.48 | Daily P&L: $306.46 | Bal: $9339.57
4:14:05 PM | info | Position closed: NVDA | P&L: $-112.27 | Daily P&L: $194.18 | Bal: $9227.30
4:14:05 PM | info | Position closed: NVDA | P&L: $-123.28 | Daily P&L: $70.91 | Bal: $9104.02
4:14:05 PM | info | Position closed: NVDA | P&L: $-104.69 | Daily P&L: $-33.78 | Bal: $8999.33
4:14:05 PM | info | Position closed: NVDA | P&L: $177.96 | Daily P&L: $144.18 | Bal: $9177.30
4:14:05 PM | info | Position closed: NVDA | P&L: $-110.71 | Daily P&L: $33.46 | Bal: $9066.58
4:14:05 PM | info | Position closed: NVDA | P&L: $132.13 | Daily P&L: $165.59 | Bal: $9198.71
4:14:05 PM | info | Position closed: NVDA | P&L: $119.13 | Daily P&L: $284.72 | Bal: $9317.84
4:14:05 PM | info | Position closed: NVDA | P&L: $-102.31 | Daily P&L: $182.41 | Bal: $9215.53
4:14:05 PM | info | Position closed: NVDA | P&L: $158.94 | Daily P&L: $341.35 | Bal: $9374.47
4:14:05 PM | info | Position closed: NVDA | P&L: $-119.68 | Daily P&L: $221.67 | Bal: $9254.79
4:14:05 PM | info | Position closed: NVDA | P&L: $116.87 | Daily P&L: $338.53 | Bal: $9371.65
4:14:05 PM | info | Position closed: NVDA | P&L: $-186.12 | Daily P&L: $152.41 | Bal: $9185.53
4:14:05 PM | info | Position closed: NVDA | P&L: $118.63 | Daily P&L: $271.04 | Bal: $9304.16
4:14:05 PM | info | Position closed: NVDA | P&L: $-240.65 | Daily P&L: $30.39 | Bal: $9063.51
4:14:05 PM | info | Position closed: NVDA | P&L: $-103.46 | Daily P&L: $-73.06 | Bal: $8960.05
4:14:05 PM | info | Position closed: NVDA | P&L: $-201.60 | Daily P&L: $-274.66 | Bal: $8758.45
4:14:05 PM | info | Position closed: NVDA | P&L: $112.99 | Daily P&L: $-161.67 | Bal: $8871.45
4:14:05 PM | info | Position closed: NVDA | P&L: $-133.20 | Daily P&L: $-294.87 | Bal: $8738.25
4:14:05 PM | info | Position closed: NVDA | P&L: $-96.08 | Daily P&L: $-390.95 | Bal: $8642.16
4:14:05 PM | info | Position closed: NVDA | P&L: $-192.39 | Daily P&L: $-583.34 | Bal: $8449.78
4:14:05 PM | info | Position closed: NVDA | P&L: $198.48 | Daily P&L: $198.48 | Bal: $8648.26
4:14:05 PM | info | Position closed: NVDA | P&L: $-266.25 | Daily P&L: $-67.76 | Bal: $8382.01
4:14:05 PM | info | Position closed: NVDA | P&L: $166.02 | Daily P&L: $98.26 | Bal: $8548.04
4:14:05 PM | info | Position closed: NVDA | P&L: $115.84 | Daily P&L: $214.10 | Bal: $8663.88
4:14:05 PM | info | Position closed: NVDA | P&L: $-87.72 | Daily P&L: $126.38 | Bal: $8576.16
4:14:05 PM | info | Position closed: NVDA | P&L: $-151.09 | Daily P&L: $-24.71 | Bal: $8425.07
